X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-81.9132036,47.8751377,Timmins District,2013,Brook Trout,,,Docks Lake (Unofficial Name),17-4317-53026,WIGLE,Yearlings,898,47.8751377,-81.9132036,12430
-81.286823,48.0241713,Timmins District,2013,Brook Trout,,,English Lake 56 (Unnamed Lake9) (Unofficial Name),17-4786-53188,ENGLISH,Yearlings,1299,48.0241713,-81.286823,12431
-81.3867584,47.5784911,Timmins District,2013,Brook Trout,,,Little Elephant Head 23 Lake (Unofficial Name),17-4709-52693,MIRAMICHI,Yearlings,449,47.5784911,-81.3867584,12432
-81.8604903,47.5174288,Timmins District,2013,Brook Trout,,,Chester Lake 34 (Unofficial Name),17-4352-52628,CHESTER,Yearlings,449,47.5174288,-81.8604903,12433
-81.3749369,47.7845818,Timmins District,2013,Brook Trout,,,Neannin Lake (Unofficial Name),17-4719-52922,BURROWS,Yearlings,898,47.7845818,-81.3749369,12434
-81.3874373,47.3085453,Timmins District,2013,Brook Trout,,,Ingrids Lake (Unofficial Name),17-4707-52393,BEULAH,Yearlings,449,47.3085453,-81.3874373,12435
-81.4445152,47.3787174,Timmins District,2013,Brook Trout,,,Moffat Lake 7 (Unofficial Name),17-4664-52474,MOFFAT,Yearlings,449,47.3787174,-81.4445152,12436
-81.3792072,47.2671808,Timmins District,2013,Brook Trout,,,Suzuki Lake (Unofficial Name),17-4713-52347,BEULAH,Yearlings,673,47.2671808,-81.3792072,12437
-81.3935336,47.2916394,Timmins District,2013,Brook Trout,,,Little Jen Lake (Lake 64) (Unofficial Name),17-4702-52376,BEULAH,Yearlings,449,47.2916394,-81.3935336,12438
-81.2637117,47.1888198,Timmins District,2013,Brook Trout,,,Hydro 27 Lake (Unofficial Name),17-4801-52262,LAMPMAN,Yearlings,449,47.1888198,-81.2637117,12439
-82.0481244,48.2210953,Timmins District,2013,Brook Trout,,,Reeves Lake 222412 (Unofficial Name),17-4221-53414,REEVES,Yearlings,800,48.2210953,-82.0481244,12440
-81.0135978,47.1762756,Timmins District,2013,Brook Trout,,,Weasel Lake (Valin Lake 33) (Unofficial Name),17-4989-52245,VALIN,Yearlings,1347,47.1762756,-81.0135978,12441
-81.4174526,47.2946291,Timmins District,2013,Brook Trout,,,Heerschap Lake (Lake 16) (Unofficial Name),17-4684-52380,BEULAH,Yearlings,449,47.2946291,-81.4174526,12442
-81.3832436,47.2770655,Timmins District,2013,Brook Trout,,,Annies Lake (Unofficial Name),17-4710-52358,BEULAH,Yearlings,898,47.2770655,-81.3832436,12443
-81.6366924,47.7915272,Timmins District,2013,Rainbow Trout,,,Stetham Lake 30 (Pierre Lake) (Unofficial Name),17-4523-52931,STETHAM,Yearlings,1113,47.7915272,-81.6366924,12477
-81.2589882,48.0890158,Timmins District,2013,Rainbow Trout,,,English Lake 10 (Unofficial Name),17-4807-53260,ENGLISH,Yearlings,700,48.0890158,-81.2589882,12478
-81.908277,47.97505,Timmins District,2013,Rainbow Trout,,,George Lake (Unofficial Name),17-4322-53137,REGAN,Yearlings,2226,47.97505,-81.908277,12479
-81.6366924,47.7915272,Timmins District,2013,Rainbow Trout,,,Stetham Lake 30 (Pierre Lake) (Unofficial Name),17-4523-52931,STETHAM,Yearlings,2226,47.7915272,-81.6366924,12480
-81.2415767,48.0989509,Timmins District,2013,Splake,,,English Lake 14 (Unofficial Name),17-4820-53271,ENGLISH,Yearlings,300,48.0989509,-81.2415767,12486
-81.2890062,47.9452691,Timmins District,2013,Splake,,,Semple Lake 61 (Unofficial Name),17-4784-53100,SEMPLE,Yearlings,1950,47.9452691,-81.2890062,12487
-81.3906703,47.2077528,Timmins District,2014,Brook Trout,,,Daniels 38 Lake (Unofficial Name),17-4704-52281,MARSHAY,Yearlings,500,47.2077528,-81.3906703,12494
-81.7411562,48.5592503,Timmins District,2014,Brook Trout,,,Cote Lake 3 (Barriers Lake) (Unofficial Name),17-4453-53785,COTE,Yearlings,1425,48.5592503,-81.7411562,12495
-81.3524739,47.8188444,Timmins District,2014,Brook Trout,,,Neezin Lake (Unofficial Name),17-4736-52960,BURROWS,Yearlings,250,47.8188444,-81.3524739,12496
-81.0552353,47.1733119,Timmins District,2014,Brook Trout,,,Outpost Lake (Unofficial Name),17-4958-52242,VALIN,Yearlings,1000,47.1733119,-81.0552353,12497
-81.9063917,47.8679936,Timmins District,2014,Brook Trout,,,Taylor Lake (Unofficial Name),17-4322-53018,WIGLE,Yearlings,1000,47.8679936,-81.9063917,12498
-81.2129326,47.6707247,Timmins District,2014,Brook Trout,,,Scotties Lake (Unofficial Name),17-4840-52795,KELVIN,Yearlings,1000,47.6707247,-81.2129326,12499
-81.2231866,47.159488,Timmins District,2014,Brook Trout,,,Lampman Lake 39 (Unofficial Name),17-4830-52227,LAMPMAN,Yearlings,1000,47.159488,-81.2231866,12500
-80.6536949,48.291501,Timmins District,2014,Brook Trout,,,McEvay Lake 18 (Unofficial Name),17-5255-53485,MCEVAY,Yearlings,350,48.291501,-80.6536949,12501
-81.3777396,47.2464895,Timmins District,2014,Brook Trout,,,Beulah Lake 48 (Unofficial Name),17-4714-52324,BEULAH,Yearlings,1000,47.2464895,-81.3777396,12502
-89.9052884,48.2285757,Thunder Bay District,2019,Rainbow Trout,,,Strange Lake 81E (Unofficial Name),16-2843-53456,STRANGE,Yearlings,500,48.2285757,-89.9052884,12519
-89.8958875,48.2299318,Thunder Bay District,2019,Rainbow Trout,,,Pothole Lake (Unofficial Name),16-2850-53456,LYBSTER,Yearlings,200,48.2299318,-89.8958875,12520
-89.8922192,48.2289993,Thunder Bay District,2019,Rainbow Trout,,,Jinx Lake A (Unofficial Name),16-2850-53457,LYBSTER,Yearlings,500,48.2289993,-89.8922192,12521
-90.1287975,48.19018,Thunder Bay District,2019,Splake,,,Mallard Lake 2 (Unofficial Name),15-7134-53412,HARDWICK,Yearlings,1000,48.19018,-90.1287975,12525
-89.5957559,49.4665514,Thunder Bay District,2019,Splake,,,Tarrison Lake B (Unofficial Name),16-3119-54823,,Yearlings,1500,49.4665514,-89.5957559,12526
-89.7148722,48.1014447,Thunder Bay District,2019,Splake,,,Gordon Lake (Unofficial Name),16-2979-53309,DEVON,Yearlings,1000,48.1014447,-89.7148722,12527
-89.1006209,50.2031325,Thunder Bay District,2019,Splake,,,Chimney Lake (Unofficial Name),16-3501-55631,,Yearlings,2500,50.2031325,-89.1006209,12528
-90.2547868,48.1239747,Thunder Bay District,2020,Brook Trout,,,Forrest Lake (Unofficial Name),15-7043-53335,,Yearlings,3000,48.1239747,-90.2547868,12533
-90.2393274,48.124054,Thunder Bay District,2020,Brook Trout,,,McKecknie Lake (Unofficial Name),15-7055-53335,,Yearlings,2000,48.124054,-90.2393274,12534
